Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
662,3278 PIEDMONT AVE,Central,0,Yellow,Residential,1680,1955,61,"$526,700",reroof 8/28/15; repair fireplace 9/10/15,reroof finaled on 11/4/15; fireplace finaled on 11/4/15,reroof 68 days; fireplace 55 days,reroof 2.3 months; fireplace 1.8 months,Brick facing coming off chimney-falling hazard at side year near chimney - do not use side yard near chimney until hazard is mitigated,1,0,2,38.322367,-122.297176,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
663,3304 MAIN ST,Central,0,Yellow,Residential,1491,1955,61,"$477,200",3/23/15,4/17/15,24,0.8,Chimney pulling away from structure. Cracks in front part of chimney,1,0,2,38.322568,-122.298456,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
664,3340 MAIN ST,Central,0,Yellow,Residential,1175,NaN,NaN,NaN,9/30/14,10/9/14,9,0.3, base of both shearwalls damaged - requires SE to eval - 5 units,0,0,2,38.322557,-122.297133,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
665,1123 TRANCAS ST,Central,0,Yellow,Residential,1092,1956,60,"$474,700",9/4/14,expired on 3/23/15,NaN,NaN,Tilted chimney at the roof line. One brick fell on the inside,1,0,2,38.323004,-122.297513,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
666,3333 BEARD RD,Central,0,Yellow,Commercial,9200,NaN,NaN,"$1,591,000",10/4/14,2/23/15,139,4.6,east stair case - chip & spolling header connections,0,0,2,38.32293,-122.29625,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
667,3353 BEARD RD,Central,0,Yellow,Commercial,5100,NaN,NaN,NaN,7/30/15,8/26/15,26,0.9,Loose tiles on roof - do not walk under building overhang until hazard is mitigated,0,0,2,38.323207,-122.295893,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
668,869 LAGUNA ST,Central,0,Yellow,Residential,1217,1963,53,"$465,700",3/12/15,4/9/15,27,0.9,Portion of chimney above roof - fall hazard - upper driveway restricted until chimney removed,1,0,2,38.317411,-122.291057,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
669,958 ELNORA CT,Central,0,Yellow,Residential,1232,1968,48,"$480,300",9/25/14,expired on 5/29/15,NaN,NaN,"Chimney damage near roof line, fall zone, taped off",0,0,2,38.317513,-122.293442,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
670,921 WINDSOR ST,Central,0,Yellow,Residential,1421,1969,47,"$495,500",repair fireplace 10/3/14; reroof 1/14/15,fireplace finaled on 11/12/14; reroof finaled on 1/20/15,fireplace 40 days; reroof 16 days,fireplace 1.3 months; reroof 0.5 months,chimney damaged - section showing displacement,1,0,2,38.317901,-122.292408,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
671,964 WINDSOR ST,Central,0,Yellow,Residential,1406,1969,47,"$492,400",NaN,NaN,NaN,NaN,chimney compromised,1,0,2,38.318142,-122.293663,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
672,940 WINDSOR ST,Central,0,Yellow,Residential,1232,1968,48,"$470,900",NaN,NaN,NaN,NaN,"chimney damaged, dislodged bricks, brick facia damage front of garage",1,0,2,38.318237,-122.293044,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
673,1115 LA HOMA DR,Central,0,Yellow,Residential,1452,1951,65,"$498,900",NaN,NaN,NaN,NaN,partial collapse of chimney,1,0,2,38.318663,-122.293476,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
674,1181 LA HOMA DR,Central,0,Yellow,Residential,3120,1972,44,"$690,300",10/7/14,10/20/14,13,0.4,"Cracks in mortar and bricks of chimney, rotated top of chimney cracked brick archways in front of garage & entrance, fall hazard under roof tiles, crack to W-side",1,0,2,38.319375,-122.289573,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
675,725 MARSH DR,Central,0,Yellow,Commercial,1204,NaN,NaN,"$346,800",NaN,NaN,NaN,NaN,use caution at carport ,0,0,1,38.319995,-122.286574,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
676,718 MARSH DR,Central,0,Yellow,Commercial,1204,1978,38,"$342,700",1/12/15,1/26/15,14,0.5,use caution at carport,0,0,1,38.320476,-122.286038,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
677,1172 LA HOMA DR,Central,0,Yellow,Residential,1626,1956,60,"$530,800",10/6/14,10/16/14,10,0.3,"3 beams in the shed are broken, limited access until repaired",0,0,2,38.31996,-122.290855,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
678,1113 PEAR TREE LN,Central,0,Yellow,Residential,885,1943,73,"$249,500",NaN,NaN,NaN,NaN,collapsed chimney at roofline,1,0,2,38.3208,-122.293845,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
679,3232 VILLA LN,Central,0,Yellow,Residential,1216,1992,24,"$375,400",NaN,NaN,NaN,NaN,"no use of tower, Restricted access of stairs",0,0,2,38.322409,-122.292409,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
680,3234 VILLA LN,Central,0,Yellow,Residential,1216,1992,24,"$388,300",NaN,NaN,NaN,NaN,"no use of tower, Restricted access of stairs",0,0,2,38.32245,-122.292292,89.11222781,70.60301508,4.579653255,33.562316,0.065423618,26994,47.98994975,81.95488722,,
681,3009 STADIUM AVE,Central,0,Yellow,Residential,1232,1961,55,"$482,600",9/21/15,11/19/15,58,1.9,"Chimney is slightly twisted above roof line, stair step cracking is visable on the face of chimney",1,0,1,38.315542,-122.300926,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
682,3033 STADIUM AVE,Central,0,Yellow,Residential,1225,1959,57,"$482,800",NaN,NaN,NaN,NaN,Cracked chimney - minor damage,1,0,1,38.315945,-122.301648,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
683,3054 STADIUM AVE,Central,0,Yellow,Residential,1408,1962,54,"$518,500",10/20/14,11/5/14,15,0.5,Cracked chimney - minor damage,1,0,1,38.316731,-122.302107,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
684,3074 STADIUM AVE,Central,0,Yellow,Residential,1261,1963,53,"$493,500",NaN,NaN,NaN,NaN,Cracked chimney - moderate damage,1,0,1,38.317125,-122.302786,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
685,3086 STADIUM AVE,Central,0,Yellow,Residential,1000,1973,43,"$353,600",NaN,NaN,NaN,NaN,garage roof beam cracked - ex cracking of stucco - no occ of garage until shorn up,0,0,2,38.317469,-122.303488,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
686,3177 JEFFERSON ST,Central,0,Yellow,Commercial,1000,NaN,NaN,NaN,10/6/14,10/7/14,1,0.0,(Taco Bell) CMU wall failing - failure will damage 3178 Stuart Wy,0,0,3,38.318315,-122.298934,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
687,3178 STUART WAY,Central,0,Yellow,Residential,1334,1956,60,"$473,500",NaN,NaN,NaN,NaN,"CMU on Taco Bell (3177 Jefferson) failing, chimney broken",1,0,2,38.318499,-122.299458,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
688,3197 STUART WAY,Central,0,Yellow,Residential,1434,1956,60,"$503,300",10/14/14,expired on 5/9/15,NaN,NaN,hole in top of chimney and missing grout near roof level,1,0,2,38.318952,-122.300076,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
689,3182 SCOTT WAY,Central,0,Yellow,Residential,1662,1966,50,"$564,200",NaN,NaN,NaN,NaN,Chimney cracked but still in place,0,0,1,38.31821,-122.302703,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
690,1454 SHERMAN AVE,Central,0,Yellow,Residential,2651,1966,50,"$666,800",NaN,NaN,NaN,NaN,"top park of brick chimney shifted 1/2""; mortar bed broken; falling hazard by side yard - avoid side yard",1,0,2,38.318292,-122.301773,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
691,1442 SHERMAN AVE,Central,0,Yellow,Residential,1511,1967,49,"$519,500",10/18/14,expired on 6/29/15,NaN,NaN,"chimney has separated 1/4"" from bldg - inside bricks have separated 1/4"" or less from wall - avoid area around chimney",1,0,2,38.318387,-122.301384,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
692,1437 SHERIDAN DR,Central,0,Yellow,Residential,1184,1955,61,"$469,200",NaN,NaN,NaN,NaN,Chimney has several loose brick on front and left side concerned it may fall on resident if another tremmer hits. ADA home,0,0,2,38.318714,-122.301249,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
693,1755 INDUSTRIAL WAY,Central,0,Yellow,Commercial,17250,NaN,NaN,NaN,12/17/14,2/17/15,60,2.0,Purlin hangers broken and edges cracked,0,0,2,38.318472,-122.304318,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
694,3206 SCOTT WAY,Central,0,Yellow,Residential,1477,1966,50,"$527,600",10/26/15,10/28/15,2,0.1,fireplace broken at roof line,0,0,2,38.318991,-122.302944,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
695,1448 SHERIDAN DR,Central,0,Yellow,Residential,1198,1965,51,"$472,000",NaN,NaN,NaN,NaN,Chimney cracked - moderate damage,0,0,2,38.319122,-122.301802,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
696,1460 SUMNER AVE,Central,0,Yellow,Residential,1477,1965,51,"$522,300",9/3/14,NaN,NaN,NaN,top cap on chimney has separated from chimney and loose brick on corner,1,0,2,38.319816,-122.302438,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
697,1775 INDUSTRIAL WAY,Central,0,Yellow,Commercial,1125,NaN,NaN,NaN,9/18/14,11/4/14,46,1.5,"Collapse, unit K rear wall separation. 1144-1448 No access until repaired",0,0,3,38.31917,-122.305522,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
698,1766 INDUSTRIAL WAY,Central,0,Yellow,Commercial,15000,NaN,NaN,NaN,10/6/14,10/24/14,18,0.6,(Napa Valley Food Bank) construction personnel in these areas only - purling & ledgers damage in south & north areas,0,0,2,38.319748,-122.305273,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
699,1758 INDUSTRIAL WAY,Central,0,Yellow,Commercial,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Racking damage to walls, other structural damage - moderate",0,0,2,38.319263,-122.30411,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
700,3325 JEFFERSON ST,Central,0,Yellow,Commercial,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Damage to rear 4x8 ledgers pulled from block wall,0,0,2,38.321486,-122.300521,81.26410835,53.04740406,0,53.36821452,3.924133421,17453,82.84424379,64.34977578,,
701,686 LINCOLN AVE,Central,0,Yellow,Commercial,2200,NaN,NaN,NaN,repair foundation 9/4/14; reroof 10/21/15,foundation expired on 3/3/15; reroof expired on 4/19/16,NaN,NaN,failure of roof beam to wall connections,0,0,2,38.310538,-122.284373,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
702,679 MAPLEWOOD AVE,Central,0,Yellow,Residential,1046,1956,60,"$370,600",NaN,NaN,NaN,NaN,Chimney damage,0,0,1,38.311021,-122.284706,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
703,665 RIO VISTA DR,Central,0,Yellow,Residential,1912,1970,46,"$528,100",NaN,NaN,NaN,NaN,Safe to occupy except areas side yard and to chimney .No fireplace use,1,0,2,38.313606,-122.283957,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
704,2301 STONEHOUSE DR,Central,0,Yellow,Residential,1999,1981,35,"$584,000",9/9/14,1/12/15,123,4.1,"Fireplace brick cap broken, remove bricks from roof",0,0,2,38.313576,-122.280927,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
705,2314 LAKEPARK DR,Central,0,Yellow,Residential,1440,1981,35,"$501,700",9/30/14,2/3/16,483,16.1,restrict access to area around chimney,1,0,2,38.314104,-122.280626,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
706,2322 STONEHOUSE DR,Central,0,Yellow,Residential,1999,1983,33,"$592,900",11/3/14,11/13/14,10,0.3,Damaged chimney - moderate damage,1,0,2,38.314331,-122.27956,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
707,2331 STONEHOUSE DR,Central,0,Yellow,Residential,1999,1981,35,"$583,700",1/9/15,expired on 7/25/15,NaN,NaN,Damaged chimney - moderate damage,1,0,2,38.31464,-122.280027,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
708,2333 STONEHOUSE DR,Central,0,Yellow,Residential,1634,1981,35,"$565,000",NaN,NaN,NaN,NaN,stay clear of hazard (chimney) until properly repaired,1,0,2,38.314801,-122.279979,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
709,2401 SHORELINE DR,Central,0,Yellow,Residential,1450,1984,32,"$510,900",9/4/14,11/13/15,429,14.3,Top of chimney fell off,1,0,2,38.314875,-122.279401,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
710,683 CUNARD DR,Central,0,Yellow,Residential,1972,1971,45,"$569,400",NaN,NaN,NaN,NaN,front brick facade - no occ in front of garage,0,0,2,38.315727,-122.284075,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
711,670 CUNARD DR,Central,0,Yellow,Residential,1518,1971,45,"$504,900",NaN,NaN,NaN,NaN,"chimney cracked out and in, cracks adj to front door - have struc engr inspect",1,0,2,38.31615,-122.283944,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
712,2556 EDGEWATER DR,Central,0,Yellow,Residential,1440,1980,36,"$499,700",9/30/14,expired on 3/29/15,NaN,NaN,chimney at roofline missing bricks - do not use fireplace,1,0,2,38.316345,-122.281554,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
713,2346 LAKEPARK DR,Central,0,Yellow,Residential,1999,1981,35,"$577,600",9/19/14,12/31/14,101,3.4,Chimney front-dissassembled; from rear chimney appears to have cracking. Chimney has been removed in front,1,0,2,38.315373,-122.280121,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
714,2360 LAKEPARK DR,Central,0,Yellow,Residential,1440,1980,36,"$503,900",NaN,NaN,NaN,NaN,restrict access to area around chimney,1,0,2,38.315998,-122.27984,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
715,2356 STONEHOUSE DR,Central,0,Yellow,Residential,1999,1980,36,"$592,600",11/17/14,4/1/15,134,4.5,chimney damage to top/no fires/restricted access below damage for fall hazard,1,0,1,38.316114,-122.279201,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
716,2427 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$575,000",9/30/14,expired on 6/10/15,NaN,NaN,Chimney damage,0,0,1,38.315897,-122.278636,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
717,2423 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$602,600",11/6/14,expired on 7/15/15,NaN,NaN,Damaged chimney- moderate damage,1,0,2,38.31572,-122.278606,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
718,2418 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$574,000",NaN,NaN,NaN,NaN,Building leaning,0,0,3,38.315277,-122.277615,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
719,2420 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$586,700",2/10/15,2/20/15,10,0.3,Damaged chimney- moderate damage,1,0,2,38.3155,-122.277665,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
720,2428 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$573,700",NaN,NaN,NaN,NaN,Damaged chimney- moderate damage,1,0,2,38.316217,-122.278186,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
721,2430 SHORELINE DR,Central,0,Yellow,Residential,1999,1983,33,"$579,200",7/28/15,8/18/15,20,0.7,Chimney flue needs cap installation. Do not use,0,0,2,38.316468,-122.278101,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
722,2446 SHORELINE DR,Central,0,Yellow,Residential,1999,1980,36,"$578,700",9/9/14,11/19/14,70,2.3,Chimney damage,0,0,1,38.317398,-122.279474,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
723,2452 SHORELINE DR,Central,0,Yellow,Residential,1999,1980,36,"$572,400",NaN,NaN,NaN,NaN,Chimney damage,0,0,1,38.317843,-122.280177,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
724,2439 STONEHOUSE CT,Central,0,Yellow,Residential,1999,1980,36,"$577,700",NaN,NaN,NaN,NaN,front chimney brick fall hazard/stay away from area until repaired/repair may require building permit,1,0,2,38.317583,-122.282129,67.57741348,66.12021858,2.580140735,49.88272088,0,19054,7.468123862,60.95571096,,
725,2439 SHORELINE DR,Central,0,Yellow,Residential,1634,1980,36,"$528,200",NaN,NaN,NaN,NaN,Chimney damage,0,0,1,38.316673,-122.279428,94.91150442,75,1.342882722,25.69382274,0.358102059,39854,49.33628319,93.5,,
726,816 LINCOLN AVE,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Re-inspect - added Engineering review recommended,0,0,2,38.309556,-122.289359,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
727,814 LINCOLN AVE,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Re-inspect - added Engineering review recommended ,0,0,2,38.309565,-122.289309,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
728,812 LINCOLN AVE,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Re-inspect - added Engineering review recommended ,0,0,2,38.309573,-122.28926,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
729,810 LINCOLN AVE,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,9/30/14,10/23/14,23,0.8,Re-inspect - added Engineering review recommended ,0,0,2,38.309581,-122.289211,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
730,2022 IDA ST,Central,0,Yellow,Residential,1337,1962,54,"$418,700",8/10/15,9/17/15,37,1.2,"top (2) courses of chimney brick have broken and moved, avoid side yard by chimney - inspect chimney",1,0,2,38.311168,-122.286094,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
731,2026 IDA ST,Central,0,Yellow,Residential,1294,1963,53,"$428,600",NaN,NaN,NaN,NaN,Chimney cracked above roof line potential collapse hazard in aftershocks. Do no use fireplace-use caution around chimney,1,0,2,38.311309,-122.286175,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
732,2030 IDA ST,Central,0,Yellow,Residential,1189,1956,60,"$446,400",NaN,NaN,NaN,NaN,Gas stove Shaken loose from wall,0,0,2,38.311477,-122.286295,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
733,2031 IDA ST,Central,0,Yellow,Residential,1189,1956,60,"$424,700",NaN,NaN,NaN,NaN,"brick chimney has many cracks, top portion of chimney above roof line is leaning, stucco cracks lower corners, avoid side yard area around chimney",1,0,2,38.311382,-122.2868,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
734,730 CAROLINA ST,Central,0,Yellow,Residential,1749,1956,60,"$472,000",NaN,NaN,NaN,NaN,"Cracked chimney, occupants stay 25 ft. away from chimney",1,0,2,38.31175,-122.286902,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
735,2324 YAJOME ST,Central,0,Yellow,Residential,948,1952,64,"$416,300",NaN,NaN,NaN,NaN,chimney cracks - do not occupy driveway,1,0,2,38.311253,-122.29131,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
736,2360 YAJOME ST,Central,0,Yellow,Residential,958,1945,71,"$351,300",NaN,NaN,NaN,NaN,stay clear of falling hazards in driveway,0,0,2,38.311898,-122.291538,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
737,2339 ALICE ST,Central,0,Yellow,Residential,1297,1974,42,"$465,300",NaN,NaN,NaN,NaN,Cracks on roof diaphragm above garage door & sidings are purged out. SE corner of garage,0,0,2,38.311962,-122.290239,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
738,745 CENTRAL AVE,Central,0,Yellow,Commercial,3600,NaN,NaN,"$614,200",NaN,NaN,NaN,NaN,ok to occupy building/owner to have engineer assess cracks at exterior and interior of all openings,0,0,2,38.313439,-122.287716,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
739,2401 ALICE ST,Central,0,Yellow,Residential,1422,1967,49,"$520,200",2/23/15,4/16/15,53,1.8,falling hazard/keep children away,0,0,2,38.313317,-122.290684,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
740,2424 YAJOME ST,Central,0,Yellow,Residential,1403,1966,50,"$470,200",3/26/15,4/1/15,5,0.2,Stay clear of falling debris - chimney area,1,0,2,38.313822,-122.292106,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
741,741 LATHROP ST,Central,0,Yellow,Residential,2060,1978,38,"$574,500",NaN,NaN,NaN,NaN,"separation (less that 1/4"") between front entry wall and garage wall, west wall is bowing out at first floor sill, rim joint twisted inside",0,0,2,38.314377,-122.287821,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
742,2461 CARRIAGE PL,Central,0,Yellow,Residential,2060,1978,38,"$591,600",NaN,NaN,NaN,NaN,loose roofing shingles/tiles,0,0,2,38.316554,-122.287815,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
743,1100 LINCOLN AVE,Central,1,Red,Commercial,4750,NaN,NaN,NaN,repair gas line 9/30/14; replace CMU wall 11/18/14,gas line expired on 3/30/15; CMU wall finaled on 3/24/15,gas line NaN; CMU wall 126 days,gas line NaN; CMU wall 4.2 months,property line fire separation wall detached from wood frame 2-story,0,0,2,38.308799,-122.295021,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
744,2233 MAIN ST,Central,0,Yellow,Residential,2219,1900,116,"$565,300",9/2/14,expired on 11/20/16,NaN,NaN,"SE required to eval interior walls ASAP - severe damage to plater walls, bldg slightly shifted",0,0,3,38.309363,-122.293805,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
745,2315 MAIN ST,Central,0,Yellow,Residential,1246,1940,76,"$442,000",NaN,NaN,NaN,NaN,Chimney cracked - moderate damage,0,0,2,38.310657,-122.294182,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
746,2448 JEFFERSON ST,Central,0,Yellow,Commercial,743,NaN,NaN,"$265,900",NaN,NaN,NaN,NaN,Porch column,0,0,2,38.309931,-122.295948,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
747,57 GEORGE ST,Central,0,Yellow,Residential,800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Walls off foundation1-3""",0,1,2,38.310166,-122.295659,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
748,1107 GEORGE ST,Central,1,Red,Residential,1038,1900,116,"$409,400",1/12/15,3/25/15,73,2.4,house shifted off foundation,0,1,4,38.310171,-122.295471,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
749,2301 YAJOME ST,Central,0,Yellow,Residential,1148,1948,68,"$434,200",12/10/14,expired on 3/29/16,NaN,NaN,stay clear of falling hazards,0,0,2,38.311205,-122.291899,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
750,2363 YAJOME ST,Central,0,Yellow,Residential,972,1950,66,"$535,600",9/4/14,12/7/15,453,15.1,Loose brick already removed - stay clear of falling debris chimney area,1,0,2,38.311929,-122.2922,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
751,2360 ADRIAN ST,Central,0,Yellow,Residential,808,1952,64,"$396,000",10/6/14,expired on 4/21/15,NaN,NaN,fireplace leaning,0,0,2,38.311858,-122.29269,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
752,2364 ADRIAN ST,Central,0,Yellow,Residential,1592,1950,66,"$479,400",NaN,NaN,NaN,NaN,fireplace leaning - restrict use on side of house,0,0,2,38.311993,-122.292699,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
753,1151 CENTRAL AVE,Central,0,Yellow,Residential,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,chimney top fell to ground,1,0,2,38.312109,-122.295281,89.85959438,62.87051482,1.338825953,57.0030896,0,26464,42.12168487,67.4689441,,
754,2407 ADRIAN ST,Central,0,Yellow,Residential,1217,1965,51,"$461,200",9/24/14,expired on 3/23/15,NaN,NaN,damaged chimney has been removed - currently making repairs to cap,1,0,2,38.312947,-122.293591,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
755,2525 ADRIAN ST,Central,0,Yellow,Residential,1254,1956,60,"$466,200",9/2/14,expired on 3/1/15,NaN,NaN,Chimney down,0,0,2,38.313428,-122.293836,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
756,2547 ADRIAN ST,Central,0,Yellow,Residential,1376,1952,64,"$471,800",1/9/15,2/3/15,24,0.8,Masonry ext. walk got moderate cracks. Chimney has been cracked,0,0,1,38.31381,-122.293844,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
757,2553 YAJOME ST,Central,0,Yellow,Residential,1661,1953,63,"$521,500",5/4/15,expired on 11/10/15,NaN,NaN,"Chimney cracked at roofline, large garage slab cracks but no visible foundation damage",0,1,2,38.314101,-122.29283,100,45.20833333,0.992829564,71.92498621,0,16968,43.33333333,50.26455026,,
